  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		        G3      		Bp3    			Rp3     		 u      		 g       			r       		i      			 z     			  g      			 r      		 i       		z     			  y    			  U      			 B    			   V      		 R      		 I       			J      			 H       		K     			 FUV     			NUV
   60111.283340634611       0.45358900000000002        1.1812230696353935E-003   7.8218325999999996        1.5531700000000001E-002   8.5736907993558944        8.3860827535537084        8.9279482067878533        7.7803174553261307        8.3150525660601957        8.8630337714262168        9.2559482067878562        9.6132577938559791        8.3893621531283245        8.8690448997602758        9.2669593351219177        9.5612609913646622        9.7765641834154309        7.0386015882174533        8.3157429789920698        8.6437241843580850        8.7813322301602774        8.9739625326305941        9.4128848988176230        9.5454897471111337        9.6585183987966161        6.3797435367577506        6.9834218145984721     
   59539.474882359165       0.43423099999999998        1.2210972008233512E-003   7.8245842000000003        1.5482500000000000E-002   8.5892119896013686        8.4017623776608641        8.9429722900017108        7.7965524653200138        8.3308270043664105        8.8781968629432253        9.2709722900017137        9.6281138950726355        8.4050332361428826        8.8841693846252365        9.2819997683196913        9.5761138950726359        9.7914397101906214        7.0548233238020313        8.3318324609549759        8.6588710478252384        8.7964677214252394        8.9888155582726394        9.4276734202850800        9.5601133621560042        9.6732054671795336        6.3975602308494093        7.0003150746611826     
   59031.524622188655       0.41694399999999998        1.2577647493745871E-003   7.8269913999999998        1.5439700000000001E-002   8.6030506985807058        8.4157477652965937        8.9563737370230569        7.8111217935701305        8.3448818089519960        8.8917031867187859        9.2843737370230599        9.6413539638920938        8.4189960794764289        8.8976435352986201        9.2954333884432216        9.5893539638920942        9.8047215809122577        7.0693701077499682        8.3462145799988434        8.6723355696986175        8.8099515008986202        9.0020459982920968        9.4408955028568613        9.5731836953258949        9.6863773904014607        6.4134459030280020        7.0154361704235022     
   58442.528863251289       0.39673399999999998        1.3013095549342778E-003   7.8297797999999998        1.5390200000000000E-002   8.6190968341421659        8.4319688975467884        8.9719152435940543        7.8280225514995259        8.3611809879855024        8.9073687840100426        9.2999152435940537        9.6567107781279908        8.4351886129581537        8.9132693802214042        9.3110146473826880        9.6047107781279912        9.8201293011166264        7.0862422669108867        8.3628957552561864        8.6879502610214026        8.8255884994214036        9.0173916589279912        9.4562363298779140        9.5883509836118499        9.7016624778392035        6.4318731594824214        7.0329768016636223     
   57762.635460227735       0.37319600000000003        1.3535663194048765E-003   7.8329890999999998        1.5333400000000001E-002   8.6375953006403030        8.4506759437395047        8.9898343031961545        7.8475175842828513        8.3799748751518344        8.9254344483997308        9.3178343031961539        9.6744198552758647        8.4538593586438822        8.9312859069041082        9.3289828446917760        9.6224198552758651        9.8379003531714915        7.1057009991872278        8.3821338789713202        8.7059539505041101        8.8436178633041074        9.0350878988758652        9.4739333781591561        9.6058508866388692        9.7192983595468263        6.4531306845942140        7.0532106833305761     
   57114.713155550853       0.35054800000000003        1.4053679188162959E-003   7.8360396000000003        1.5279700000000000E-002   8.6551866285133805        8.4684725673638432        9.0068765744097199        7.8660685603179665        8.3978510255919474        8.9426197557193952        9.3348765744097193        9.6912652172127238        8.4716181266230599        8.9484211565786076        9.3460751735505028        9.6392652172127242        9.8548079747535091        7.1242141195771822        8.4004366384394018        8.7230769981786089        8.8607653149786110        9.0519210588127237        9.4907736749254035        9.6225064761284109        9.7360835334973004        6.4733616210824252        7.0724659541313066     
   56539.504746420054       0.33028800000000003        1.4530465669802197E-003   7.8387165999999997        1.5232700000000000E-002   8.6707291113793570        8.4842026830272150        9.0219336844243454        7.8824716816300811        8.4136491793793606        8.9578067869736362        9.3499336844243484        9.7061499554214858        8.4873119467286440        8.9635611842750631        9.3611792871229209        9.6541499554214862        9.8697504245200580        7.1405809453315126        8.4166162128300765        8.7382063178750631        8.8759160506750643        9.0667950890214879        9.5056587945679123        9.6372299319650505        9.7509220310157669        6.4912575379401058        7.0894950775343784     
   55874.416397147579       0.30669500000000000        1.5098977437889970E-003   7.8417558999999999        1.5179500000000000E-002   8.6885628370918191        8.5022595812307991        9.0392081851981700        7.9013109772634245        8.4317818606421646        8.9752350684279456        9.3672081851981694        9.7232278126662344        8.5053237675215918        8.9809322311187394        9.3785110225073751        9.6712278126662348        9.8868976735754366        7.1593751635542198        8.4351930245130795        8.7555652075187389        8.8932992547187411        9.0838607890662324        9.5227424177640714        9.6541290688321340        9.7679541855527034        6.5118253517514084        7.1090595359868480     
   55112.358907040405       0.27934799999999999        1.5782159706901667E-003   7.8452472000000002        1.5118599999999999E-002   8.7090148247319679        8.5229752299564954        9.0590235661419758        7.9229268937710149        8.4525803308721184        8.9952305552635377        9.3870235661419787        9.7428219258077622        8.5259837914535286        9.0008581279605711        9.3983959934449448        9.6908219258077626        9.9065753419107256        7.1809354552680471        8.4565043540308640        8.7754771391605697        8.9132391167605700        9.1034409370077594        9.5423512297951039        9.6735305782608894        9.7875081064794802        6.5354214120313028        7.1315061302825686     
   54305.522923726610       0.25003100000000000        1.6543354759534167E-003   7.8489420000000001        1.5054400000000001E-002   8.7387198440941845        8.5529426645639859        9.0885858043457866        7.9538781830830771        8.4825468965639885        9.0246843276243780        9.4163919385698307        9.7722934152912373        8.5554160375968138        9.0302885596243776        9.4277877065698306        9.7202384449305335        9.9363627421217444        7.2120720488590386        8.4874352394162216        8.8039524174384276        8.9427392979850850        9.1327877065698289        9.5719314576519423        9.7030898069580971        9.8169509115428397        6.5652285230660432        7.1614243054818729     
